date,Esperance_1,Esperance_2,Esperance_3,Mundrabilla,Eucla_1,Eucla_2,Yalata,Ceduna
20250319,0.15523944795131683,,0.3724660277366638,0.4812566936016083,0.8964407444000244,0.3310246467590332,0.37016168236732483,0.294965535402298
20250320,0.36058953404426575,0.374646931886673,0.3800884485244751,0.7061886787414551,0.7288901805877686,0.5216771364212036,0.3021949827671051,0.43386679887771606
20250321,0.4120939075946808,0.4641161859035492,0.4211346507072449,0.627819299697876,0.7477732300758362,0.44690969586372375,0.4933203160762787,0.5590317249298096
20250322,0.3891298174858093,0.558843195438385,0.4576396644115448,0.5974190831184387,0.8445257544517517,0.5317854881286621,0.4575244188308716,0.15862758457660675
20250323,0.36367112398147583,0.5117244720458984,0.41397443413734436,0.6037758588790894,0.8870716094970703,0.41668349504470825,0.4395146667957306,0.5560583472251892
20250324,0.3520640432834625,0.5091127753257751,0.44223925471305847,0.9679001569747925,0.7972859740257263,0.44763174653053284,0.6056095957756042,0.5184467434883118
20250325,0.3492197096347809,0.47873374819755554,0.4250035583972931,0.6742847561836243,0.4537590444087982,0.44307321310043335,0.48270535469055176,0.5494486093521118
20250326,0.3254920244216919,0.43488019704818726,0.4061684012413025,0.7244884371757507,0.5526754856109619,0.42117440700531006,0.536421000957489,0.7015935778617859
20250327,0.3970910608768463,0.6555351614952087,0.3809436857700348,,0.5879284143447876,0.5383695363998413,0.46182769536972046,0.6199714541435242
20250328,0.37034139037132263,0.46414661407470703,0.3690051734447479,0.5789262652397156,0.6151273846626282,0.4510877728462219,0.43855953216552734,0.5145717859268188
20250329,0.5030609965324402,,0.2951532304286957,0.5893309712409973,,,,0.6251787543296814
20250330,0.3802337646484375,0.36349400877952576,0.3207160234451294,0.7094315886497498,0.6072788238525391,0.5155918002128601,0.672496497631073,0.7855072021484375
20250331,0.32365882396698,0.41072049736976624,0.37962427735328674,0.6901922225952148,0.6570068597793579,0.5564749836921692,0.6882667541503906,0.9750292301177979
20250401,0.4779840409755707,0.7330963015556335,0.381252259016037,0.6091741919517517,0.6900492906570435,0.5868093371391296,0.5655578374862671,0.8334599733352661
20250402,0.36323031783103943,,,0.33907774090766907,,0.3917806148529053,0.5049318075180054,0.5745849609375
20250403,0.4407005310058594,0.38113605976104736,0.3352513015270233,0.8195643424987793,0.5523996949195862,0.507013201713562,0.5858083963394165,0.3548838794231415
20250404,,,0.4239532947540283,0.6316232681274414,0.48129260540008545,0.40505653619766235,0.46761688590049744,0.635374128818512
20250405,0.37983232736587524,0.4304957389831543,0.42081695795059204,0.7587374448776245,0.795764684677124,0.5809401869773865,0.6535377502441406,0.9384528994560242
20250406,0.5118803381919861,,,0.7809698581695557,0.6769958734512329,0.5224497318267822,0.660327136516571,0.992631196975708
20250407,,,,,0.7282027006149292,0.5515999794006348,0.6299316883087158,0.7942937612533569
20250408,0.42434653639793396,0.5636025071144104,,,0.8515370488166809,0.717634916305542,0.5840736627578735,
20250409,0.2899281084537506,0.182944655418396,0.47148436307907104,0.6350864768028259,0.7855176329612732,0.546716570854187,0.5915811061859131,0.666588306427002
20250410,0.37416931986808777,0.5005711913108826,0.4033679962158203,0.4652250409126282,0.6391141414642334,0.39477434754371643,0.5706870555877686,0.42244964838027954
20250411,0.4183889329433441,0.48645415902137756,0.4216223359107971,0.6898738741874695,0.7610821723937988,0.499944806098938,0.6068309545516968,0.8531697988510132
20250412,,,0.4296940267086029,0.7932193279266357,0.7149450778961182,0.47758227586746216,0.478358656167984,0.5706049799919128
20250413,,,0.4340611398220062,,0.7535930871963501,0.5379796624183655,0.47307541966438293,0.4811224639415741
20250414,,1.1013373136520386,0.41430947184562683,0.6809853911399841,0.7327080965042114,0.4891456067562103,0.470748633146286,0.5726662874221802
20250415,0.31958359479904175,0.4252300262451172,0.37657347321510315,0.5340145826339722,0.6873090863227844,0.4493994116783142,0.4245299696922302,0.39142289757728577
20250416,,0.4301649332046509,0.3495863080024719,0.5526452660560608,0.6399110555648804,0.42409053444862366,0.3408604860305786,0.5126150250434875
20250417,,,,,,0.2916904091835022,0.39491936564445496,0.49719658493995667
20250418,0.3111068308353424,,0.391215056180954,,,,,0.23970703780651093
20250419,0.3543110191822052,0.395783931016922,0.33796426653862,0.7642929553985596,0.7742853760719299,0.5053191781044006,0.348021000623703,
20250420,0.26374348998069763,0.23827975988388062,0.3303210437297821,0.3363740146160126,0.5645694732666016,0.47866934537887573,0.47976455092430115,0.4354410171508789
20250421,0.4988172650337219,0.5038823485374451,0.27449676394462585,,,,0.3985007405281067,
20250422,0.6925382018089294,0.6134706139564514,0.5780308842658997,0.7440933585166931,0.7809693813323975,0.6161736845970154,0.6288512945175171,0.9398844242095947
20250423,,0.6673861742019653,0.6845686435699463,0.8535075187683105,0.8183469176292419,0.6239610314369202,0.5903584361076355,0.5753020644187927
20250424,,0.45622801780700684,0.4587833881378174,0.5597102642059326,,,0.9587046504020691,0.8704224824905396
20250425,,,,,0.6197761297225952,0.5760584473609924,0.6019522547721863,0.6127195358276367
20250426,,0.31484970450401306,,,0.46643441915512085,0.3958922326564789,0.5165135860443115,0.513274073600769
20250427,,0.4432598650455475,,0.4796600341796875,,,,
20250428,0.33093371987342834,0.5283333659172058,0.6312044262886047,0.6226779222488403,0.6515322327613831,0.5260205864906311,0.46203845739364624,0.5959561467170715
20250429,0.3724271059036255,0.3571847379207611,0.41343122720718384,0.6963135600090027,0.6363583207130432,0.6175071001052856,0.5663988590240479,0.49210771918296814
20250430,0.3755206763744354,0.48824718594551086,0.4981865882873535,0.6959750652313232,0.5384198427200317,0.5340139269828796,0.6388002634048462,0.7071236371994019
20250501,0.41853469610214233,0.5311615467071533,0.5065248012542725,0.7347767949104309,0.7454469203948975,0.5979426503181458,0.632192075252533,0.6864126324653625
20250502,,,,,0.7595701217651367,0.6172259449958801,0.621293306350708,0.7399698495864868
20250503,,0.6188817620277405,0.48134443163871765,,,,,
20250504,0.47814249992370605,0.5870955586433411,0.5231806635856628,0.7389337420463562,0.9369529485702515,0.5812376141548157,0.5800578594207764,0.6154876947402954
20250505,,0.5632857084274292,0.4522028863430023,0.5721930265426636,0.7766674160957336,0.6074617505073547,0.6905921101570129,0.879150927066803
20250506,0.3448663651943207,0.41269949078559875,0.5938817262649536,,0.754221498966217,0.5346882343292236,0.5546332597732544,0.8163278698921204
20250507,0.20771212875843048,0.3571374714374542,0.2777009606361389,0.3631931245326996,0.5375010371208191,0.4285883605480194,0.4113629162311554,0.5900877714157104
20250508,0.5253179669380188,0.45134860277175903,0.20530085265636444,,0.23154756426811218,0.5062316060066223,0.5319850444793701,0.9027265310287476
20250509,0.450835645198822,0.5961272716522217,0.5455283522605896,0.7084038853645325,0.7095571160316467,0.6294938325881958,0.6112229824066162,0.6739158034324646
20250510,0.43855032324790955,0.5504076480865479,0.47158846259117126,0.6871647834777832,0.8435465693473816,0.6878165602684021,0.7616478800773621,0.7389601469039917
20250511,0.2765268385410309,0.32554036378860474,0.36341866850852966,0.6785081624984741,0.788555920124054,0.6112993955612183,0.6777117252349854,0.6669266819953918
20250512,0.31146812438964844,0.4138258099555969,0.40557023882865906,0.6232471466064453,0.8013603091239929,0.5844258666038513,0.6730375289916992,0.6431810855865479
20250513,0.16593605279922485,0.2720169425010681,0.2724677622318268,0.5276665687561035,0.6457225680351257,0.5732091665267944,0.6719403862953186,0.6449616551399231
20250514,,0.2981017529964447,,0.43876975774765015,,0.4151393175125122,,0.5681990385055542
20250515,0.37423789501190186,,0.29370352625846863,0.39932629466056824,0.6187795996665955,0.5303590893745422,0.18093501031398773,0.38858935236930847
20250516,0.36710336804389954,0.4145076870918274,0.3068351149559021,0.3268774747848511,0.6750030517578125,0.45139050483703613,0.46192044019699097,0.5543692708015442
20250517,0.3686678111553192,0.2920646667480469,0.2549107074737549,0.5196989178657532,0.7024986743927002,0.48917752504348755,0.5098779201507568,0.4189642369747162
20250518,0.35430729389190674,0.4184008538722992,0.40225574374198914,0.5797634720802307,0.6178833246231079,0.5526241064071655,0.6454334855079651,0.6829134225845337
20250519,0.5126315355300903,0.698035478591919,0.4844246506690979,0.6734933257102966,0.8467118144035339,0.6595144271850586,0.661040186882019,0.6664162278175354
20250520,0.33378198742866516,0.4127599596977234,0.3568479120731354,0.5471199154853821,,0.6368809938430786,0.6795055270195007,0.6474616527557373
20250521,0.3459489643573761,0.2097395658493042,0.274813175201416,0.35546860098838806,0.594068169593811,0.46518465876579285,0.6477429270744324,0.6237318515777588
20250522,0.4538557231426239,0.5250219702720642,0.44010207056999207,0.498858779668808,0.553452730178833,0.49399134516716003,0.6301140785217285,0.6659207940101624
20250523,,,,0.6394012570381165,1.4236773252487183,,0.7583750486373901,0.7356743216514587
20250524,,0.5544817447662354,0.4290113151073456,0.40815645456314087,0.5461645126342773,0.5102190375328064,0.5998662114143372,0.6785581707954407
20250525,0.2854840159416199,0.6218804717063904,0.6297769546508789,,1.048534870147705,0.774722695350647,0.6757411956787109,0.740071177482605
20250526,0.3141467571258545,0.5136755108833313,0.5586109757423401,,,,0.6641875505447388,
20250527,0.4292348325252533,0.5368744730949402,0.5182667970657349,0.6052372455596924,,,,
