date,Ceduna-Port Lincoln,Spencer Gulf N,Spencer Gulf S,SVG - NW,SVG - NE,SVG - SW,SVG - SE,Victor Harbor,Victor Harbour-Mt Gambier,Mt Gambier-Port Fairy
20220917,14.326834678649902,13.700181007385254,13.701943397521973,13.234271049499512,,,,13.45059585571289,13.277247428894043,12.472272872924805
20220918,14.66684627532959,,,,,,,13.720515251159668,12.785805702209473,12.846487045288086
20220919,14.203978538513184,13.996505737304688,13.947524070739746,13.717161178588867,13.969860076904297,,,12.645101547241211,13.210987091064453,12.93399429321289
20220920,,,,,,,,,13.964339256286621,13.2588472366333
20220921,14.606260299682617,,13.444452285766602,,,,,,,
20220922,14.4391450881958,,,,,,,12.709391593933105,13.143552780151367,12.538908958435059
20220923,14.886659622192383,14.337672233581543,13.769415855407715,,,,,13.471981048583984,,13.00201416015625
20220924,15.103982925415039,14.509820938110352,14.1260347366333,13.917072296142578,14.109203338623047,13.482583999633789,13.400525093078613,13.5122709274292,13.25093936920166,13.094881057739258
20220925,,,14.049208641052246,,,,,13.477730751037598,13.184931755065918,12.857551574707031
20220926,14.37320327758789,,,,,,,,,13.382399559020996
20220927,14.85256576538086,14.801457405090332,13.954524040222168,14.07514476776123,13.813782691955566,13.449531555175781,13.070222854614258,13.386713027954102,13.06299877166748,
20220928,14.862545013427734,14.697713851928711,,,,,,13.500303268432617,13.525588989257812,12.829272270202637
20220929,15.264388084411621,14.523126602172852,13.974103927612305,13.675832748413086,13.973489761352539,,13.521784782409668,,13.137660026550293,13.091581344604492
20220930,,14.797086715698242,14.436667442321777,,,,,13.788935661315918,13.49232292175293,13.10037612915039
20221001,14.335583686828613,,,,,,,,14.208993911743164,13.499178886413574
20221003,,,14.385523796081543,,,14.415861129760742,,14.816153526306152,14.401248931884766,12.318225860595703
20221004,,,,,,,,,,12.904834747314453
20221005,15.64012622833252,,15.008137702941895,,,,,,,12.453644752502441
20221006,,,,,,,,,,
20221007,14.888694763183594,14.346678733825684,14.197627067565918,,,,,,,13.71780014038086
20221008,14.863870620727539,15.191258430480957,14.510624885559082,15.373981475830078,,14.174010276794434,13.951773643493652,14.159839630126953,13.553244590759277,13.049933433532715
20221009,14.794958114624023,15.535014152526855,14.359272956848145,15.465727806091309,15.256302833557129,13.880897521972656,14.112710952758789,14.155401229858398,13.728780746459961,13.088903427124023
20221010,13.497220993041992,15.810230255126953,14.499505996704102,15.649088859558105,15.931758880615234,14.5600004196167,14.422379493713379,14.403444290161133,13.59953498840332,13.065987586975098
20221011,,,,,,,,,,12.64946174621582
20221012,14.85107135772705,,,,,,,,,
20221013,14.971075057983398,,,,,,,,,
20221014,14.898195266723633,15.563127517700195,14.566282272338867,15.685527801513672,15.601051330566406,14.403571128845215,14.4168119430542,14.207122802734375,13.744366645812988,13.11888599395752
20221015,15.729999542236328,15.723929405212402,14.731234550476074,,,,,14.281743049621582,13.829479217529297,13.462249755859375
20221016,15.277347564697266,,14.960771560668945,15.495833396911621,,14.939520835876465,14.869876861572266,14.683634757995605,13.95167350769043,13.066469192504883
20221017,15.428184509277344,,15.51249885559082,,,,,14.914999961853027,14.643406867980957,13.625547409057617
20221018,,,,,,,,,13.885614395141602,13.846850395202637
20221019,15.214821815490723,,15.158608436584473,,15.992700576782227,15.163044929504395,15.195244789123535,15.010035514831543,14.425970077514648,13.728303909301758
20221020,15.891474723815918,15.61719799041748,15.233658790588379,,,14.744929313659668,,14.787402153015137,14.917865753173828,14.37134838104248
20221021,16.124755859375,16.386127471923828,15.751601219177246,,,,,15.109651565551758,14.302641868591309,14.154703140258789
20221022,,,,,,,,,14.808945655822754,
20221023,15.097702980041504,,,,,,,,,
20221024,15.681434631347656,,,,,,,,,
20221025,15.262584686279297,,14.097912788391113,,,12.324142456054688,,12.703819274902344,,
20221026,16.171100616455078,,,,,,,14.659472465515137,11.794059753417969,11.808889389038086
20221027,,,,,,,,,,
20221028,15.328725814819336,,,,,,,,,14.255226135253906
20221029,15.542864799499512,17.8920841217041,15.273116111755371,,,,,15.032432556152344,13.985508918762207,
20221030,14.6561279296875,,,,,,,,13.854497909545898,13.293499946594238
20221031,,17.054304122924805,15.524065971374512,,,,,14.793635368347168,14.08728313446045,14.16557788848877
20221101,,,,,,,,15.179229736328125,13.831562042236328,13.391188621520996
20221102,15.706198692321777,,,,,,,,14.483506202697754,13.807190895080566
20221103,15.577532768249512,16.199411392211914,15.432184219360352,15.746930122375488,,14.983709335327148,,,,14.118695259094238
20221104,15.562621116638184,16.47294044494629,15.553436279296875,15.971874237060547,15.759687423706055,15.270262718200684,15.385809898376465,14.521903991699219,14.286602020263672,
20221105,15.733013153076172,16.465213775634766,15.36145305633545,16.245330810546875,16.118986129760742,15.472837448120117,15.553790092468262,14.858515739440918,14.127277374267578,13.510061264038086
20221106,16.51337432861328,17.805465698242188,16.422794342041016,,16.645484924316406,16.134553909301758,16.228635787963867,15.722646713256836,14.777421951293945,13.971539497375488
20221107,16.275177001953125,,,,,,,,15.490133285522461,14.837775230407715
20221108,16.98770523071289,17.586523056030273,16.388761520385742,,,,,,,16.026304244995117
20221109,17.530107498168945,18.44795036315918,17.322105407714844,,,,,17.2711181640625,15.878905296325684,14.919913291931152
20221110,,17.92621612548828,16.730867385864258,,,16.648332595825195,16.936603546142578,16.21734619140625,15.3882417678833,15.348896026611328
20221111,17.026180267333984,,16.747039794921875,18.550128936767578,18.07833480834961,,,16.396284103393555,14.20743465423584,13.798324584960938
20221112,,,,,,,,,,
20221113,15.458967208862305,,,,,,,,,14.951406478881836
20221114,,,,,,,,15.061949729919434,14.883874893188477,
20221115,15.454648971557617,,16.104339599609375,,,15.995833396911621,16.33977508544922,15.760348320007324,14.623583793640137,14.330821990966797
20221116,17.657350540161133,,16.865161895751953,,,,,,14.623016357421875,14.22878646850586
20221117,,18.993139266967773,17.22111701965332,18.34087562561035,,16.628496170043945,17.020206451416016,15.954310417175293,14.942280769348145,13.991443634033203
20221118,,17.38556671142578,15.540136337280273,,,,,15.733562469482422,15.582252502441406,14.682522773742676
20221119,16.902015686035156,,,,,,,,,
20221120,15.918514251708984,18.373727798461914,16.453100204467773,,,,16.744571685791016,15.750882148742676,14.806894302368164,14.491584777832031
20221121,16.045913696289062,17.969430923461914,16.093969345092773,16.889999389648438,17.028139114379883,16.245492935180664,16.405202865600586,15.49973201751709,14.411099433898926,14.669034957885742
20221122,,18.989686965942383,,,,,,15.230416297912598,14.486659049987793,13.985685348510742
20221123,,,,,,,,16.11857032775879,15.48224925994873,13.841358184814453
20221124,16.345169067382812,,15.654397964477539,,,,,,,14.519328117370605
20221125,17.07707405090332,18.650310516357422,17.06842613220215,17.814998626708984,17.835508346557617,16.95752716064453,17.19065284729004,16.281538009643555,14.747775077819824,13.669999122619629
20221126,,19.22281265258789,16.911617279052734,,,,,16.141677856445312,,14.125347137451172
20221127,16.55504035949707,,,,,,,,13.67285442352295,14.604413032531738
20221128,,,,,,,,16.42155647277832,14.78563117980957,14.000020027160645
20221129,16.64824676513672,,,,,,,,,14.577692031860352
20221130,17.150146484375,18.86028289794922,16.66250991821289,,,,,,,13.660856246948242
20221201,17.101320266723633,18.71767234802246,17.494537353515625,17.946521759033203,17.867799758911133,,17.64228630065918,15.968182563781738,15.178495407104492,
20221202,17.43405532836914,19.046369552612305,17.200881958007812,18.270856857299805,18.49256706237793,17.18402862548828,17.443927764892578,16.376420974731445,15.522582054138184,14.952046394348145
20221203,,20.419607162475586,18.681865692138672,19.390064239501953,19.754594802856445,18.19879913330078,18.36777114868164,17.330018997192383,15.894539833068848,15.287565231323242
20221204,18.863847732543945,,,,,,,,17.7009220123291,16.81151580810547
20221205,17.470706939697266,,,,,,,,,
20221206,17.199243545532227,18.919248580932617,17.68340301513672,19.49223518371582,,,,16.73476219177246,16.203758239746094,
20221207,16.709728240966797,,16.810108184814453,,,16.943389892578125,,16.456787109375,15.09830093383789,15.116232872009277
20221208,17.6295166015625,20.031307220458984,17.678768157958984,,,17.460912704467773,17.89147186279297,16.567731857299805,15.29338550567627,14.830089569091797
20221209,,,,,,,,14.41852855682373,15.089451789855957,14.856300354003906
20221210,18.523408889770508,20.100914001464844,17.998138427734375,,,,,,,15.592805862426758
20221211,17.85857582092285,20.89798927307129,18.243558883666992,,,,,,,
20221212,16.936872482299805,19.587247848510742,17.1473445892334,19.196983337402344,19.17255210876465,17.038982391357422,,16.386714935302734,15.05417251586914,
20221213,17.21428108215332,19.641042709350586,17.008544921875,,18.921031951904297,,,16.509891510009766,14.866504669189453,14.576915740966797
20221214,,,,,,,,16.722753524780273,15.576435089111328,14.33767318725586
20221215,17.18785858154297,,,,,,,,,14.892315864562988
20221216,17.42579460144043,18.8549747467041,17.6802921295166,17.8429012298584,17.834409713745117,17.22113800048828,17.42015266418457,,,
20221217,16.869373321533203,19.13972282409668,17.2307071685791,18.280532836914062,18.2885684967041,17.256423950195312,17.59893226623535,15.98679256439209,15.188300132751465,14.52017879486084
20221218,15.45255184173584,,16.404518127441406,,,17.110694885253906,17.2735595703125,16.219558715820312,15.008934020996094,15.014549255371094
20221219,,,,,19.751087188720703,18.43742561340332,18.714218139648438,17.161619186401367,15.210989952087402,15.065727233886719
20221220,17.144699096679688,,,,,,,,16.168155670166016,15.56525993347168
20221221,17.8745059967041,,19.009214401245117,,,,,,,15.647384643554688
